Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
Phú Thịnh Green Park,,,Tô Hiệu,Hà Cầu,Hà Đông,67,2.2,Đông - Nam,Đông - Nam,2,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,84,3.6,Tây - Bắc,Đông - Nam,2,2
New Horizon City - 87 Lĩnh Nam,,,Lĩnh Nam,Mai Động,Hoàng Mai,101,3.65,Đông - Nam,Nam,3,2
Green Stars,234,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,66.8,2.6,,,2,2
Green Stars,234,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,95,3.6,,,3,2
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,112,5.3,Đông - Bắc,Tây - Nam,2,2
The K Park,,,Lê Trọng Tấn,Phúc La,Hà Đông,93,3.25,Đông - Bắc,Đông - Bắc,3,2
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,80,3,,,,
,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,54,0.85,,,,
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,110,4.5,,,2,
TSG Lotus Sài Đồng,,,Sài Đồng,Việt Hưng,Long Biên,90,3.05,Đông - Nam,Đông - Bắc,3,2
BRG Diamond Residence,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,202,15,,,4,
Ecolife Capitol,58,,Tố Hữu,Trung Văn,Nam Từ Liêm,75,3,,,,
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,145,6,,Đông - Nam,3,
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,100,4.2,,,2,2
Feliz Homes,,,Đền Lừ 2,Hoàng Văn Thụ,Hoàng Mai,76,3.3,Tây - Bắc,Đông - Nam,2,2
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,96.1,3.55,Đông - Bắc,Tây - Nam,3,2
Mipec Rubik 360,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,77,4.4,Tây,Đông,2,2
,,,Trương Định,Hoàng Văn Thụ,Hoàng Mai,51,0.66,Tây,Đông,2,1
Sun Square,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,98,3.8,Nam,Đông - Nam,3,2
,,,Chính Kinh,Nhân Chính,Thanh Xuân,60,1.355,,,2,1
Grand Sunlake,,,Trần Phú,Văn Quán,Hà Đông,70,2.66,Đông - Bắc,Đông - Nam,2,2
Keangnam,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,107,4.8,Tây,Đông - Nam,3,2
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,80,4.25,Đông - Nam,,3,2
Chung cư Viện 103,,,Yên Xá,Tân Triều,Thanh Trì,89,2.55,Đông - Bắc,Tây - Nam,2,2
90 Nguyễn Tuân,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,71,3.25,Đông - Nam,Tây - Nam,2,2
,,,Võ Thị Sáu,Thanh Nhàn,Hai Bà Trưng,58,0.849,Đông,Đông - Nam,2,1
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,181,6.6,Đông - Nam,Tây - Bắc,4,2
VP3 Linh Đàm,,,Nguyễn Duy Trinh,Hoàng Liệt,Hoàng Mai,92,2.88,Đông - Bắc,Tây - Nam,3,3
HH1 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,70,1.39,,,2,2
Rivera Park Hà Nội,69,,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,71,3.4,,,2,2
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,125,5.7,Bắc,Nam,3,2
Sun Grand City Ancora Residence,,,Lương Yên,Bạch Đằng,Hai Bà Trưng,110,8,,Đông - Bắc,3,
Sun Grand City,,,Thụy Khuê,Thụy Khuê,Tây Hồ,60,5,,,,
Home City - Trung Kính Complex,177,,Trung Kính,Yên Hòa,Cầu Giấy,61.5,3.38,,,2,2
Home City - Trung Kính Complex,177,,Trung Kính,Yên Hòa,Cầu Giấy,61.5,3.3,,,2,2
Royal City,72,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,109,4.9,,,2,2
Tecco Diamond,,,,Tứ Hiệp,Thanh Trì,73,2.5,Đông - Bắc,Đông - Nam,2,2
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,160,5.5,Tây - Bắc,Đông - Nam,3,3
Tràng An Complex,1,,Phùng Chí Kiên,Nghĩa Đô,Cầu Giấy,100,4.9,,,3,2
,,,Bạch Mai,Bạch Mai,Hai Bà Trưng,57,0.669,Đông,Tây - Nam,2,1
,,,Khuất Duy Tiến,Thanh Xuân Bắc,Thanh Xuân,140,2.8,,,3,3
Hà Nội Center Point,,,Hoàng Đạo Thúy,Nhân Chính,Thanh Xuân,64,2.8,Tây - Bắc,,2,
,,,Hoàng Đạo Thành,Kim Giang,Thanh Xuân,75,1.95,,,3,1
TSG Lotus Sài Đồng,,,Sài Đồng,Việt Hưng,Long Biên,105,3.7,,,3,2
,,,Chùa Bộc,Quang Trung,Đống Đa,52,0.58,Tây,Đông - Nam,2,1
Feliz Homes,,,Đền Lừ 2,Hoàng Văn Thụ,Hoàng Mai,113.5,4.42,Bắc,Tây,3,2
,,,Xã Đàn,Kim Liên,Đống Đa,52,0.814,Đông,Đông - Nam,2,1
Feliz Homes,,,Đền Lừ 2,Hoàng Văn Thụ,Hoàng Mai,64,3,,,,
,,,Nguyên Hồng,Láng Hạ,Đống Đa,95,2.83,,,3,1
Feliz Homes,,,Đền Lừ 2,Hoàng Văn Thụ,Hoàng Mai,45,2.13,Bắc,Nam,1,1
Sunshine City,,,,Đông Ngạc,Bắc Từ Liêm,110,6,Đông - Bắc,Đông - Bắc,3,2
,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,58,0.85,Đông,Đông - Nam,2,1
Mon City - Hải Đăng City,4,,Hàm Nghi,Mỹ Đình 2,Nam Từ Liêm,86,3.8,Đông - Bắc,Tây - Nam,3,
Chung cư Ban cơ yếu Chính phủ,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,125,4.65,Tây - Bắc,Đông - Nam,3,2
Rose Town,,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,79,1.98,,Đông - Nam,2,2
Vinhomes Ocean Park Gia Lâm,,,Đa Tốn,Dương Xá,Gia Lâm,69,1.85,Đông - Bắc,Tây - Nam,2,
Green Diamond 93 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,86,6.9,,,2,
Rose Town,79,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,88,3.1,,Đông - Nam,3,2
The Golden Palm Lê Văn Lương,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,66,3.2,Đông - Nam,Tây - Bắc,2,1
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,54,1.3,Đông - Nam,Đông - Nam,2,2
90 Nguyễn Tuân,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,71,3.25,,,2,
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,57,2.15,,,2,1
,,,,Đội Cấn,Ba Đình,48,0.61,,,2,1
M5 Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,150,6.48,,,3,2
HH1 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,60,1.4,Tây,Nam,2,2
TSG Lotus Sài Đồng,,,Sài Đồng,Việt Hưng,Long Biên,72,2.5,Đông - Nam,Tây - Bắc,2,2
,,,Thái Hà,Trung Liệt,Đống Đa,46,0.7,,,2,1
Berriver Long Biên,,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,47,2.5,Đông - Nam,Đông - Nam,2,1
,,,Đội Cấn,Đội Cấn,Ba Đình,52,0.658,,,2,2
The K Park,,,Lê Trọng Tấn,Phúc La,Hà Đông,59,2.1,Đông - Bắc,Tây - Nam,2,2
Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,55,1.6,,,2,1
Imperia Garden,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,69,3.4,,,2,
La Casta Văn Phú,,,Lê Trọng Tấn,Phú La,Hà Đông,84,3.2,Đông - Bắc,Tây - Nam,2,2
Sky City Towers-88 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,112,6.2,,,2,2
MHD Trung Văn,29,,Tố Hữu,Trung Văn,Nam Từ Liêm,105,4.15,,,3,2
HH1 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,46,1.12,,,2,1
FLC Complex Phạm Hùng,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,70,2.7,,Bắc,2,2
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,120,6,Đông - Bắc,Tây - Nam,3,2
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,57,2.09,Tây - Bắc,Đông - Nam,2,1
,,,Bạch Mai,Bạch Mai,Hai Bà Trưng,32,0.65,,,1,1
The Zenpark,,,Đông Dư,Dương Xá,Gia Lâm,81.9,3.6,Tây - Nam,Đông - Nam,2,2
FLC Complex Phạm Hùng,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,70,2.7,,Đông - Nam,2,2
,,,Hào Nam,Ô Chợ Dừa,Đống Đa,35,0.7,,,1,1
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,28,1.7,,,,
,,,Trần Khát Chân,Phố Huế,Hai Bà Trưng,30,0.69,,,1,1
Vườn Xuân - 71 Nguyễn Chí Thanh,,,,Láng Hạ,Đống Đa,95,3.65,Tây - Nam,Đông - Bắc,2,2
,,,Giáp Bát,Giáp Bát,Hoàng Mai,30,0.55,,,1,1
Golden Land,275,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,110,4,,,2,
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,83,3.4,,Tây - Nam,2,2
,,,Xuân La,Xuân Tảo,Bắc Từ Liêm,26,0.53,,,1,1
HPC Landmark 105,,,Tố Hữu,La Khê,Hà Đông,82,2.52,,,2,2
,,,Xã Đàn,Cát Linh,Đống Đa,33,0.69,,,1,1
,,,Cát Linh,Cát Linh,Đống Đa,35,0.69,,,,
HPC Landmark 105,,,,La Khê,Hà Đông,145,3.86,,,4,3
The Vesta,,,,Phú Lãm,Hà Đông,67,1.55,Bắc,Nam,2,2
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,109,5,,,2,2
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,66,2.6,,Đông - Bắc,2,2
Riverside Garden,349,,Vũ Tông Phan,Khương Đình,Thanh Xuân,126,5.5,,,3,2
,,,Xuân Đỉnh,Xuân Tảo,Bắc Từ Liêm,33,0.555,,,,
K2,,,Võ Thị Sáu,Thanh Nhàn,Hai Bà Trưng,33,0.65,,,1,1
Park Kiara,,,Lê Trọng Tấn,La Khê,Hà Đông,90,5.15,Tây - Nam,Đông - Bắc,3,2
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,82,3.4,,Đông - Nam,3,2
,,,Võng Thị,Bưởi,Tây Hồ,26,0.65,,,1,
Florence Mỹ Đình,28,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,82,3.6,Tây - Nam,Đông - Bắc,2,
,,,Thái Hà,Láng Thượng,Đống Đa,45,0.6,,,2,1
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,87,4.1,Tây - Nam,Đông - Bắc,3,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,180,7.8,Tây - Bắc,Đông - Nam,4,3
,,,Kim Mã,Kim Mã,Ba Đình,38,0.75,,,1,1
The Garden Hills - 99 Trần Bình,,,,,Nam Từ Liêm,59,2.4,,Tây - Bắc,2,2
Đại Thanh,,,,Tả Thanh Oai,Thanh Trì,45,1,,,,
Golden Field Mỹ Đình,,,,Cầu Diễn,Nam Từ Liêm,65,2.55,,Tây - Bắc,2,2
,,,Hồ Ba Mẫu,Phương Liên,Đống Đa,30,0.62,,,1,1
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,65,2.4,,Đông - Nam,2,2
Làng Việt Kiều Châu Âu Euroland,,,,Mỗ Lao,Hà Đông,140,4.3,,,3,
,,,Thái Hà,Trung Liệt,Đống Đa,32,0.69,,,1,1
CT36 - Dream Home,,,Nguyễn Cảnh Dị,Định Công,Hoàng Mai,60,2.3,Đông - Bắc,Tây - Nam,2,2
Roman Plaza,,,Tố Hữu,Đại Mỗ,Nam Từ Liêm,78,3.2,,,2,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,102,4.9,,,3,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,133,4.26,,,3,3
Văn Khê,,,,La Khê,Hà Đông,93,2.1,,,2,2
Keangnam,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,107,6.21,Tây - Bắc,Đông - Nam,3,2
The Golden Palm Lê Văn Lương,21,,Lê Văn Lương,Nhân Chính,Thanh Xuân,75,3,,,,
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,121,4.24,,,2,
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,85,2.9,Bắc,Nam,2,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,84,2.3,Tây - Bắc,Đông - Nam,2,2
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,75,3.1,Tây - Nam,Đông - Bắc,2,2
Làng Việt Kiều Châu Âu Euroland,,,,,Hà Đông,161,4.9,Đông - Nam,Đông - Bắc,3,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,76,3.1,,,2,2
Dolphin Plaza,28,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,198,7.13,,,4,
Golden Land,275,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,101,3.8,Tây - Nam,Đông - Bắc,2,2
Florence Mỹ Đình,28,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,75,3.265,,,2,2
Văn Phú Victoria,,,Lê Trọng Tấn,Phú La,Hà Đông,68,2.4,Đông - Bắc,Tây - Nam,2,2
Moonlight 1 - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,81,3.56,,,2,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,103,2.7,Đông - Nam,Đông - Bắc,3,3
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,64,2.57,Đông - Bắc,Tây - Nam,2,2
The Terra An Hưng,,,Nguyễn Thanh Bình,Dương Nội,Hà Đông,140,5.1,Tây - Bắc,Đông - Nam,4,3
Mipec Rubik 360,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,83,4.2,Bắc,Nam,2,
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,120,6,,,3,3
Mipec Rubik 360,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,108,5.6,,,3,2
Dreamland Bonanza,,,Duy Tân,Mỹ Đình 2,Nam Từ Liêm,73,3.5,Tây - Bắc,Đông - Nam,2,2
HH4 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,46,1.19,,,2,1
,,,Nguyễn Thái Học,Điện Biên,Ba Đình,58,0.85,Đông,Đông - Nam,2,1
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,59,2.4,Đông - Nam,Đông - Nam,2,2
,,,Lê Hồng Phong,Ngọc Hà,Ba Đình,50,0.678,Tây,Đông - Nam,2,1
The Zenpark,,,Đông Dư,Dương Xá,Gia Lâm,73,2.9,Đông - Bắc,Tây - Nam,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,30.5,1.8,Tây - Nam,Tây - Nam,1,1
ĐTM Dịch Vọng,,,,Dịch Vọng,Cầu Giấy,86,3.1,,,4,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,46.5,2,Tây - Nam,Tây - Nam,1,1
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,64,3.55,Nam,Nam,2,1
GoldSilk Complex,430,,Cầu Am,Vạn Phúc,Hà Đông,135,3.7,Tây - Nam,Đông - Nam,3,2
Green House,,,,Đức Giang,Long Biên,80,1.98,Tây - Nam,Đông - Bắc,2,2
An Lạc Green Symphony,,,,Vân Canh,Hoài Đức,66,2.3,,,2,2
Nhà ở xã hội Him Lam Thượng Thanh,90,,Gia Quất,Thượng Thanh,Long Biên,33,0.594,,,,
Vinhomes West Point,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,93,4.6,Tây - Bắc,Đông - Nam,3,2
The Pavilion - Vinhomes Ocean Park,,,Lý Thánh Tông,Trâu Quỳ,Gia Lâm,62,2.3,,,,
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,50,2.85,Tây - Bắc,Đông - Nam,1,1
Mipec City View,,,,Kiến Hưng,Hà Đông,69,1.99,,,2,2
D’. Le Pont D’or - Hoàng Cầu,36,,Hoàng Cầu,Ô Chợ Dừa,Đống Đa,68,4.9,Đông - Nam,,2,1
Ecohome 3,,,Tân Xuân,Đông Ngạc,Bắc Từ Liêm,67.5,4.6,,,,
MHD Trung Văn,,,Tố Hữu,Trung Văn,Nam Từ Liêm,105,4.1,,,3,2
HUD3 Nguyễn Đức Cảnh,60,,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,73,3.15,Đông,Bắc,2,2
Green House,,,,Đức Giang,Long Biên,72,1.85,Đông - Bắc,Tây - Nam,2,2
Tân Hồng Hà Complex,317,,Trường Chinh,Khương Trung,Thanh Xuân,88,3.1,,,3,2
Khai Sơn City,,,,Ngọc Thụy,Long Biên,77,2.95,Tây - Bắc,Đông - Nam,2,2
Diamond Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,135,5.2,,,3,2
Xuân Phương Residence,,,Trịnh Văn Bô,Phương Canh,Nam Từ Liêm,156,4.2,Đông - Bắc,Tây - Nam,4,3
The Golden Palm Lê Văn Lương,21,,Lê Văn Lương,Nhân Chính,Thanh Xuân,104,5.3,Tây - Bắc,Đông - Nam,3,2
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,66,3.1,Tây - Bắc,Đông - Nam,2,2
VC7 Housing Complex - 136 Hồ Tùng Mậu,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,65,2.3,,,2,1
Mon City - Hải Đăng City,,,Hàm Nghi,Mỹ Đình 2,Nam Từ Liêm,65,2.8,,Đông - Nam,2,2
The Terra An Hưng,,,Tố Hữu,Dương Nội,Hà Đông,74,2.8,,,2,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,87,4.25,Tây - Bắc,Đông - Nam,3,
Golden Land,,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,94,3.8,Tây - Bắc,Đông - Nam,2,
The Golden Palm Lê Văn Lương,21,,Lê Văn Lương,Nhân Chính,Thanh Xuân,81,3.6,Tây - Bắc,Đông - Nam,2,
Sunshine Palace,13,,Lĩnh Nam,Mai Động,Hoàng Mai,80,2.9,,,2,
N01-T8 Ngoại Giao Đoàn,,,,Xuân Tảo,Bắc Từ Liêm,134.6,7.27,,,,
Hope Residence,,,Chu Huy Mân,Phúc Đồng,Long Biên,70,1.78,,,2,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,78,2.8,,,2,
Mỹ Đình I,,,Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,86,2.6,,,2,2
Mỹ Đình II,,,Trần Hữu Dực,Mỹ Đình 2,Nam Từ Liêm,82,3.05,,,3,2
Mỹ Đình II,,,Trần Hữu Dực,Mỹ Đình 2,Nam Từ Liêm,120,3.6,,,3,2
137,,,Nguyễn Ngọc Vũ,Trung Hòa,Cầu Giấy,90,3.1,,,3,2
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,57,2.1,,,2,
Mỹ Đình I,,,Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,60,2.2,,,2,2
Lavender Garden,176,,Định Công,Định Công,Hoàng Mai,80,3.2,Đông,,2,2
Mỹ Đình I,,,Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,97,3.1,,,3,2
FLC Landmark Tower,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,159,3.85,,,3,2
Golden Park Tower,,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,98,5.2,,,3,2
Golden Land,,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,135,5,,,3,2
Helios Tower 75 Tam Trinh,,,Tam Trinh,Mai Động,Hoàng Mai,65,2.6,,,2,
Thăng Long Garden 250 Minh Khai,,Gốc Đề,Minh Khai,Minh Khai,Hai Bà Trưng,72.5,2.6,,,2,
Mỹ Đình Plaza 2,,,Nguyễn Hoàng,Mỹ Đình 2,Nam Từ Liêm,70,2.9,,,2,
Hanhomes Blue Star,,,Võ Trung Thành,Trâu Quỳ,Gia Lâm,61,1.62,Đông - Nam,Tây - Bắc,2,2
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,68,2.6,,,2,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,61,2.2,Đông - Bắc,Tây - Nam,2,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,72,3.1,,,3,2
Bắc Hà Fodacon,,,Nguyễn Trãi,Mỗ Lao,Hà Đông,100,2.55,Tây - Bắc,Đông - Nam,3,2
Việt Hưng,,,Nguyễn Cao Luyện,Đức Giang,Long Biên,85,2.15,,,2,2
Tòa Tháp Thiên Niên Kỷ,,,Quang Trung,Yết Kiêu,Hà Đông,92.1,4.1,,,2,2
Chung cư Đại Thanh,,,Phan Trọng Tuệ,Tả Thanh Oai,Thanh Trì,50,0.99,Đông,Tây,2,
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,28,1.45,,Tây - Nam,,
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,60,1.55,Tây - Bắc,Đông - Nam,2,2
Mandarin Garden,,,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,168,10.2,Đông - Nam,Tây - Bắc,3,2
Intracom Riverside,,,,Vĩnh Ngọc,Đông Anh,68,1.95,Tây - Nam,Tây - Nam,2,2
Thanh Xuân Complex,6,,Lê Văn Thiêm,Thanh Xuân Trung,Thanh Xuân,90,3.96,Tây - Nam,Đông - Bắc,2,2
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,78,2.7,,,2,2
The Golden Palm Lê Văn Lương,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,66.2,3.15,Đông - Nam,Tây - Bắc,2,1
Việt Hưng,,,,Đức Giang,Long Biên,85,1.8,,,2,2
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,114,7.2,,,3,2
Kosmo Tây Hồ,,,Xuân La,Xuân Tảo,Bắc Từ Liêm,118,8.2,Tây - Bắc,Đông - Nam,3,2
The Zenpark,,,Đông Dư,Dương Xá,Gia Lâm,64,2.748,Tây - Nam,Đông - Bắc,2,2
Imperia Garden,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,75,3.4,Tây - Bắc,Đông - Bắc,2,2
Việt Hưng,,,Nguyễn Cao Luyện,Đức Giang,Long Biên,130,2.89,Đông - Bắc,Tây - Bắc,4,2
Tòa Tháp Thiên Niên Kỷ - Hatay Millennium,,,,,Hà Đông,67,2.56,Tây - Nam,Đông - Bắc,2,2
HPC Landmark 105,,,,La Khê,Hà Đông,145,3.88,Tây,Bắc,3,2
Hồ Gươm Plaza,102,,Trần Phú,Mỗ Lao,Hà Đông,104,3.5,Tây - Nam,Đông - Bắc,3,2
Rose Town,,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,93,3.44,,,3,
Nam Trung Yên,,,Phạm Hùng,Trung Hòa,Cầu Giấy,65,2.5,,,2,1
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,66,2.7,Đông - Bắc,Tây - Nam,2,
Samsora Premier,,,Chu Văn An,Yết Kiêu,Hà Đông,69,2.4,Đông - Bắc,Tây - Nam,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,60,3,,,,
Berriver Long Biên,390,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,110,4.2,,,3,2
IA20 Ciputra,,,Phạm Văn Đồng,Đông Ngạc,Bắc Từ Liêm,100,3,Nam,Đông,3,2
BRG Diamond Residence,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,103,6,,,3,
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,146,4.96,Tây - Nam,Đông - Bắc,3,2
Grand Sunlake,,,Trần Phú,Văn Quán,Hà Đông,95,3.52,Tây - Nam,Đông - Nam,3,2
The Pavilion - Vinhomes Ocean Park,,,Lý Thánh Tông,,Gia Lâm,68,2.3,Đông - Bắc,Đông - Bắc,2,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,110,6,,,3,
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,60,2.5,Đông - Bắc,Tây - Nam,2,2
Geleximco Souther Star,897,,Giải Phóng,Giáp Bát,Hoàng Mai,92,3.7,,Đông - Nam,3,2
Indochina Plaza,241,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,93,4.7,,,2,2
Mailand Hanoi City,,,Đại lộ Thăng Long,An Khánh,Hoài Đức,150,4.2,,,3,2
An Bình Plaza,97,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,84,3.4,,,3,2
Helios Tower 75 Tam Trinh,,,Tam Trinh,Mai Động,Hoàng Mai,80,3.2,,Nam,3,2
Sunshine Garden,,,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,77.75,3.1,,Đông,2,2
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,98.11,4.8,,Đông - Nam,3,2
Nhà ở cho CBCS Bộ Công an,,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70,2.5,,,2,2
KĐT Cổ Nhuế,,,Hoàng Quốc Việt,Cổ Nhuế 1,Bắc Từ Liêm,72,2.9,,,2,2
Rose Town,79,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,79,2.8,,Đông,2,2
Mỹ Đình Plaza 2,,,Nguyễn Hoàng,Mỹ Đình 2,Nam Từ Liêm,77.4,3,Tây,,2,2
Imperia Sky Garden,432,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,82,3.6,,Nam,2,2
